id,Sex,Length,Diameter,Height,Weight,Age,price
83,F,1.25,0.95,0.3375,15.06775925,12,8.62
84,I,1.125,0.925,0.275,10.716111,8,8.36
85,I,1.4375,1.125,0.3875,23.28911425,9,6.25
86,F,1.7625,1.4125,0.45,50.7739545,10,8.69
87,F,1.475,1.3125,0.4125,32.44600275,20,5.54
88,M,1.5,1.15,0.45,34.699788,12,7.19
89,I,1,0.775,0.2875,8.901743,7,9.75
90,I,1.225,0.95,0.3375,19.80212575,8,7.72
91,M,0.8375,0.65,0.2125,5.25883225,15,6.73
92,I,0.9875,0.775,0.2375,7.72523875,9,8.47
93,F,1.4875,1.15,0.375,31.014353,11,5.39
94,M,1.675,1.2875,0.475,46.444455,11,5.13
95,F,1.5375,1.2375,0.4125,33.35318675,20,9.00
96,F,1.2625,0.9625,0.3375,19.29183475,13,8.79
97,M,1.3625,1.125,0.375,32.16250775,12,8.24
98,M,1.4375,1.125,0.4125,26.26581175,13,8.72
99,I,1.5625,1.25,0.4125,30.71668325,14,5.97
100,F,1.425,1.1,0.425,26.32251075,9,6.84
101,I,0.475,0.325,0.1,0.66621325,4,5.75
102,I,1.225,0.925,0.3625,15.1669825,11,6.01
103,F,1.45,1.175,0.375,27.328918,10,7.89
104,M,1.45,1.15,0.4125,29.95124675,11,7.86
105,M,1.4375,1.0625,0.3625,22.92057075,10,8.30
106,M,1.05,0.8625,0.275,11.509897,8,8.99
107,M,1.3125,1.1125,0.35,26.2232875,17,6.94
108,F,1.45,1.125,0.4875,35.3518265,21,5.23
109,F,1.7,1.375,0.5125,49.5265765,20,7.03
110,F,1.5,1.2375,0.425,36.3724085,10,5.56
111,M,1.25,1.0125,0.4625,22.15513425,12,9.88
112,F,1.0375,0.7875,0.25,10.5176645,7,7.94
113,M,1.6875,1.35,0.4875,44.9906565,10,6.18
114,F,1.3375,1.0875,0.425,22.66542525,13,9.31
115,I,0.8125,0.5625,0.225,4.3941725,5,5.52
116,I,1.1125,0.825,0.2875,11.41067375,8,5.63
117,I,1.0625,0.75,0.25,8.06543275,7,9.25
118,F,1.5875,1.2875,0.475,39.7743485,19,5.97
119,M,1.3,1.0125,0.3125,18.824068,8,8.68
120,I,1.1375,0.9375,0.3125,14.81261375,7,9.95
121,M,1.5625,1.2375,0.5125,35.62114675,13,8.81
122,F,1.5875,1.25,0.4125,37.32211675,10,6.96
123,F,1.4625,1.1875,0.45,26.09571475,13,7.32
124,I,0.3875,0,0.025,0.41106775,4,5.59
125,M,1.4375,1.1875,0.3875,27.91008275,10,8.81
126,F,1.5,1.125,0.3875,34.5580405,9,8.86
127,I,1.45,1.0875,0.4125,25.41532675,9,9.50
128,M,0.95,0.7,0.25,7.55514175,10,9.59
129,M,1.5625,1.325,0.4375,37.74735925,12,6.66
130,M,1.3375,1.0625,0.325,21.1203775,9,9.78
131,M,1.5625,1.2375,0.4375,31.127751,12,9.17
132,F,1.7125,1.25,0.4,36.85435,12,7.52
133,F,1.8125,1.3875,0.45,45.7277435,11,8.11
134,M,1.625,1.3625,0.4625,49.32813,10,7.66
135,F,1.625,1.3125,0.375,36.967748,10,5.94
136,I,1.1875,0.9375,0.3,16.9813505,7,9.53
137,I,1.1375,0.875,0.325,14.04717725,8,6.68
138,M,1.4875,1.1875,0.425,29.27085875,12,9.26
139,I,0.875,0.6625,0.225,6.08096775,7,7.44
140,M,1.6875,1.275,0.4375,44.4803655,10,6.11
141,I,1.375,1.0875,0.3125,22.66542525,10,5.47
142,F,1.5125,1.1875,0.525,32.13415825,16,9.15
143,I,1.5625,1.225,0.3875,29.29920825,11,6.25
144,I,1.125,0.85,0.3125,13.39513875,9,7.89
145,M,1.4,1.0625,0.3875,27.5273645,12,7.78
146,I,1.0875,0.8125,0.2875,11.09882925,6,9.86
147,I,1.075,0.8625,0.225,10.53183925,7,7.71
148,I,1.0375,0.8125,0.2625,11.1413535,7,6.71
149,I,0.9125,0.675,0.225,6.7188315,6,7.84
150,F,1.45,1.125,0.4,27.839209,11,6.16
151,M,1.625,1.25,0.425,44.55123925,7,5.87
152,M,1.575,1.275,0.3875,37.40716525,11,7.74
153,F,1.675,1.3125,0.475,42.48172575,11,6.86
154,F,1.475,1.125,0.375,26.1665885,9,8.22
155,M,1.4,1.1125,0.325,23.79940525,9,7.47
156,I,0.975,0.725,0.275,7.95203475,6,9.76
157,M,1.4,1.1,0.3625,26.138239,10,5.12
158,F,1.1625,0.8875,0.2625,12.0485375,9,9.06
159,M,0.9625,0.725,0.225,7.1157245,9,8.60
160,F,1.45,1.1875,0.3625,27.22969475,13,7.78
161,I,1.3125,1.0125,0.3125,17.4916415,10,5.61
162,F,1.55,1.25,0.4375,42.2691045,11,9.00
163,M,1.675,1.2625,0.4625,38.6403685,9,8.70
164,I,1.0125,0.8125,0.25,10.0640725,7,7.08
165,I,0.5875,0.4375,0.1125,1.190679,5,6.94
166,I,0.4125,0.2875,0.0125,0.5953395,4,5.20
167,M,1.625,1.2375,0.425,38.96638775,13,5.13
168,F,1.6,1.275,0.375,33.12639075,16,5.34
169,M,1.5625,1.2,0.3875,32.87124525,10,8.43
170,M,1.2375,1.05,0.35,19.17843675,12,6.41
171,F,1.575,1.225,0.425,34.45881725,8,9.97
172,M,1.4375,1.125,0.375,26.365035,10,5.11
173,M,1.725,1.35,0.4875,45.68521925,11,7.04
174,F,1.25,0.875,0.3125,13.8062065,9,9.52
175,I,1.025,0.75,0.25,8.09378225,7,9.23
176,M,1.5375,1.1375,0.4,28.292801,9,9.34
177,I,1.35,1.05,0.35,20.34076625,10,6.12
178,I,0.6875,0.4875,0.1625,2.83495,6,5.37
179,M,1.35,1.0125,0.3625,21.70154225,10,9.23
180,F,1.6125,1.2,0.4125,37.74735925,10,9.44
181,F,1.175,0.875,0.2875,13.39513875,7,8.28
182,F,1.5,1.2375,0.4125,34.302895,15,8.78
183,M,1.625,1.3125,0.4125,27.68328675,14,8.01
184,M,1.1875,0.9,0.3125,16.9246515,9,7.97
185,M,1.4,1.05,0.375,23.71435675,10,8.38
186,M,1.3,1.025,0.375,20.36911575,10,9.65
187,I,1.3125,1.025,0.3625,18.75319425,8,5.76
188,M,1.6,1.225,0.425,37.03862175,13,7.04
189,I,0.5625,0.425,0.1,1.54504775,4,9.74
190,F,1.3,0.9875,0.3,18.71067,12,5.15
191,F,1.3,1.0375,0.325,22.792998,18,5.40
192,M,1.4,1.1,0.3125,24.45144375,8,8.34
193,I,1.075,0.8125,0.2375,9.752228,6,9.05
194,F,1.0375,0.7625,0.275,11.509897,9,5.11
195,M,1.525,1.2375,0.4375,36.6559035,14,5.87
196,I,1.0375,0.7875,0.25,8.00873375,6,5.03
197,M,1.5,1.175,0.4,29.3417325,9,6.59
198,M,1.375,1.075,0.3875,19.43358225,12,8.12
199,M,1.625,1.3125,0.475,39.745999,12,7.54
200,M,1.575,1.1875,0.3875,35.50774875,11,6.96
201,M,1.4125,1.0875,0.3875,28.67551925,9,9.09
202,F,1.7,1.325,0.4125,45.2741515,15,8.91
203,I,1.525,1.225,0.4,32.034935,10,6.67
204,M,1.5125,1.1875,0.4,29.41260625,10,7.26
205,I,1.425,1.1125,0.45,27.76833525,13,9.05
206,F,1.5625,1.1875,0.4125,34.9549335,10,7.35
207,M,1.4375,1.1375,0.3625,25.231055,11,7.66
208,M,1.7375,1.375,0.475,47.58463575,12,9.04
209,I,1.4375,1.1875,0.475,29.086587,9,5.02
210,M,1.3,0.9625,0.3375,18.597272,17,6.62
211,I,1.4375,1.125,0.4125,22.12678475,11,8.90
212,F,1.475,1.1625,0.4125,30.03629525,9,8.76
213,F,1.425,1.05,0.35,28.64716975,12,9.41
214,M,1.4,1.0875,0.3875,29.69610125,11,8.51
215,F,1.65,1.3125,0.475,38.838815,9,9.87
216,I,1.4125,1.0625,0.35,23.71435675,9,5.14
217,F,1.35,1.0375,0.3875,24.50814275,10,7.29
218,F,1.5125,1.2,0.3875,31.79396425,10,7.54
219,M,1.2625,0.9875,0.3625,18.92329125,8,5.39
220,F,1.6,1.2875,0.4125,32.998818,10,5.54
221,F,1.625,1.25,0.375,38.55532,12,9.52
222,F,1.225,0.9625,0.3125,16.839603,10,8.36
223,F,1.5,1.1125,0.375,28.98736375,11,7.01
224,I,0.775,0.5625,0.1875,5.7549485,6,6.97
225,M,1.675,1.2625,0.5125,49.25725625,13,6.67
226,I,0.9875,0.75,0.275,8.391452,12,8.02
227,I,1.4375,1.125,0.3375,20.3265915,9,8.77
228,I,0.9625,0.725,0.25,7.1157245,8,5.26
229,F,1.6375,1.3,0.4125,44.69298675,12,9.55
230,F,1.7,1.375,0.45,50.6605565,12,6.12
231,I,0.8375,0.65,0.225,5.6699,6,8.52
232,M,1.4875,1.1625,0.3875,32.7436725,9,7.61
233,F,1.5625,1.2875,0.4875,38.20095125,15,8.04
234,M,1.4125,1.175,0.3625,24.42309425,8,9.93
235,F,1.5375,1.1875,0.3375,28.10852925,10,5.69
236,I,1.2375,0.9875,0.3125,15.29455525,8,9.23
237,F,1.5125,1.2125,0.4,30.14969325,11,6.43
238,F,1.425,1.1625,0.375,25.0326085,14,8.26
239,I,0.525,0.375,0.1125,1.31825175,5,9.06
240,F,1.6,1.225,0.4125,32.07745925,9,9.65
241,M,1.65,1.3,0.5375,49.45570275,11,7.39
242,M,1.5875,1.2625,0.3875,37.40716525,12,7.48
243,I,1.325,1.0375,0.3375,19.77377625,8,6.82
244,M,1.4375,1.125,0.5,24.84833675,17,5.91
245,I,1.425,1.075,0.3875,22.1976585,11,6.73
246,F,1.4125,1.1,0.4125,26.12406425,12,6.57
247,I,1.35,1.05,0.35,20.41164,9,7.22
248,F,1.5625,1.2375,0.425,34.529691,11,7.79
249,M,1.4375,1.0875,0.375,26.54930675,9,6.01
250,F,1.6,1.3,0.375,35.0116325,10,6.44
251,F,1.7875,1.375,0.475,47.0318205,24,9.39
252,M,1.4875,1.125,0.3375,23.5584345,11,8.66
253,M,1.375,1.125,0.375,26.1098895,10,8.26
254,F,1.4875,1.1625,0.375,31.638042,9,6.08
255,M,1.375,1.0875,0.3375,24.62154075,12,8.39
256,M,1.45,1.1375,0.375,27.08794725,13,5.14
257,M,0.775,0.6,0.2,5.10291,7,6.62
258,F,1.5125,1.1875,0.35,27.99513125,10,8.18
259,M,1.575,1.2,0.4,30.26309125,10,8.79
260,F,1.25,1,0.3,17.78931125,8,9.33
261,M,1.5875,1.2625,0.4125,36.61337925,9,8.97
262,F,1.5125,1.2125,0.3625,29.029888,10,5.23
263,I,1,0.75,0.25,8.60407325,7,9.01
264,F,1.725,1.375,0.4875,52.12055575,11,7.71
265,M,1.125,0.9375,0.2625,13.36678925,8,6.84
266,M,1.6625,1.3125,0.45,39.7743485,13,8.21
267,M,1.525,1.2125,0.3625,31.70891575,10,8.42
268,F,1.375,1.0375,0.3875,23.7285315,15,5.51
269,F,1.725,1.325,0.3875,43.81415225,14,6.37
270,M,1.5375,1.1625,0.4375,28.066005,10,9.37
271,I,1.45,1.15,0.375,28.576296,10,5.60
272,I,1.25,1,0.35,21.92833825,9,8.15
273,F,1.45,1.125,0.3625,23.43086175,12,9.19
274,M,1.15,0.9375,0.35,14.16057525,14,5.69
275,I,1.1,0.85,0.275,10.98543125,7,7.28
276,M,1.475,1.1625,0.4125,27.45649075,12,6.23
277,I,0.85,0.65,0.225,5.06038575,6,6.98
278,I,1.475,1.1875,0.375,30.43318825,9,8.79
279,F,1.6125,1.25,0.4125,32.545226,10,6.42
280,M,1.4375,1.125,0.425,26.08154,11,9.34
281,F,1.25,0.9875,0.3125,18.653971,9,6.76
282,I,1.5125,1.175,0.375,30.51823675,10,7.46
283,I,1.35,1.025,0.35,18.6256215,10,7.16
284,F,1.65,1.2625,0.3875,42.354153,10,6.38
285,M,1.3625,1,0.3,19.74542675,9,8.77
286,M,1.475,1.1125,0.3875,25.911443,11,9.97
287,I,0.775,0.5875,0.1875,4.43669675,6,5.49
288,I,0.675,0.5375,0.1625,3.41611475,5,6.36
289,I,1.0875,0.825,0.2875,10.19164525,7,6.16
290,I,1.3,1,0.3375,18.597272,8,9.34
291,F,1.625,1.3125,0.5,39.81687275,17,7.13
292,M,1.4375,1.1375,0.3,23.79940525,9,7.14
293,M,1.5375,1.1875,0.4,33.849303,11,8.94
294,M,1.4125,1.1,0.3625,28.8314415,13,7.33
295,I,1.0875,0.95,0.3,13.8062065,11,5.84
296,I,0.8875,0.675,0.2125,6.59125875,6,6.51
297,F,1.55,1.2,0.3875,32.07745925,10,8.93
298,F,1.7,1.3125,0.4375,43.70075425,11,9.98
299,I,1.175,0.8875,0.3,14.92601175,7,8.02
300,M,1.4375,1.0875,0.3875,23.756881,11,5.35
301,I,0.925,0.6875,0.2375,6.59125875,6,5.04
302,F,1.625,1.2875,0.4375,39.2073585,9,8.40
303,M,1.65,1.2625,0.425,40.66735775,15,5.77
304,I,1.0625,0.75,0.3,11.963489,8,8.23
305,M,1.6125,1.2875,0.45,34.189497,16,9.90
306,F,1.125,0.875,0.2875,10.2341695,8,9.33
307,I,0.475,0.5125,0.1875,2.82077525,4,7.82
308,I,1.175,0.9125,0.2625,16.0741665,8,8.60
309,F,1.575,1.2375,0.45,34.8415355,10,9.16
310,M,1.575,1.2375,0.3875,36.4291075,14,9.48
311,M,1.45,1.1125,0.35,27.612413,10,6.74
312,I,0.725,0.525,0.2125,3.4869885,6,9.78
313,I,1.4125,1.1125,0.3125,17.90270925,8,7.63
314,I,1.175,0.875,0.2625,12.43125575,7,7.12
315,I,0.5875,0.3875,0.1875,1.80019325,5,9.15
316,M,1.3,1,0.3125,23.51591025,10,9.18
317,I,1.125,0.8375,0.2625,11.55242125,10,6.80
318,M,1.65,1.275,0.475,46.45065575,11,9.11
319,F,1.525,1.2125,0.45,32.7436725,9,8.70
320,M,1.3875,1.0875,0.3875,24.8058125,18,6.37
321,F,1.475,1.125,0.3875,24.210473,11,6.74
322,M,1.1,0.8375,0.2375,10.432616,6,5.19
323,F,1.3125,1.0375,0.375,22.75047375,10,6.71
324,M,1.4375,1.1875,0.4125,31.99241075,11,8.78
325,I,0.9,0.7,0.2,6.13766675,6,7.10
326,M,1.5125,1.1625,0.3875,28.33532525,10,8.95
327,M,1.6125,1.3,0.4375,39.02308675,9,6.79
328,F,1.6625,1.2875,0.45,38.8104655,11,6.11
329,I,1.0625,0.7875,0.2625,11.8217415,7,7.84
330,M,1.6125,1.25,0.4375,38.88133925,14,6.73
331,F,0.9625,0.7625,0.2625,8.7032965,7,5.94
332,I,1.775,1.35,0.5125,52.219779,16,6.64
333,I,0.475,0.3625,0.1,1.06310625,5,7.35
334,F,1.525,1.175,0.4875,30.3623145,15,5.89
335,I,1.1,0.8625,0.2625,12.43125575,7,5.90
336,M,1.175,0.9125,0.3125,16.71203025,8,9.20
337,M,1.4875,1.1625,0.425,30.03629525,8,5.34
338,F,1.15,0.85,0.3,13.39513875,7,8.79
339,I,1.0625,0.8,0.2375,9.63883,6,8.60
340,M,1.325,1,0.325,20.08562075,9,5.82
341,I,1.225,1,0.35,18.01610725,8,7.95
342,M,1.275,0.975,0.3375,17.95940825,8,6.80
343,F,1.475,1.175,0.35,27.499015,10,7.42
344,M,1.4625,1.1375,0.425,30.7592075,16,7.24
345,M,1.6125,1.3,0.4375,41.63124075,14,6.78
346,I,1.1375,0.8875,0.3,12.99824575,7,7.00
347,M,1.3125,1.025,0.3875,22.736299,14,9.13
348,I,0.85,0.6375,0.225,5.5281525,6,5.57
349,M,1.725,1.3125,0.4375,49.22890675,17,9.43
350,M,1.4125,1.0625,0.3875,23.7285315,10,5.17
351,I,0.8375,0.625,0.1875,4.20990075,7,8.40
352,M,1.575,1.25,0.4,36.1456125,11,6.41
353,I,0.85,0.6375,0.225,6.13766675,6,9.34
354,I,1.05,0.775,0.2125,7.98038425,7,9.99
355,M,1.3125,1.075,0.3625,20.76600875,11,8.61
356,M,1.7,1.3375,0.5,50.6605565,24,6.09
357,F,1.25,0.95,0.3,18.46969925,8,8.05
358,F,1.4375,1.1,0.375,23.88445375,9,8.71
359,I,1.1375,0.95,0.35,14.04717725,18,7.26
360,F,1.525,1.2,0.3875,33.29648775,9,7.46
361,M,1.25,1,0.3125,17.463292,6,6.08
362,M,1.7375,1.325,0.45,52.219779,10,9.76
363,I,0.775,0.5625,0.1875,3.345241,5,8.38
364,M,1.675,1.2625,0.4625,38.82464025,13,6.70
365,I,0.8,0.5875,0.1875,4.309124,7,6.72
366,M,1.4625,1.1625,0.4,30.57493575,12,9.29
367,M,1.8375,1.425,0.525,67.5001595,11,6.83
368,I,0.95,0.725,0.2125,7.9095105,8,5.92
369,M,1.5,1.225,0.4125,30.1922175,12,6.52
370,M,1.5,1.1375,0.3375,30.0221205,10,6.57
371,I,1.0375,0.8125,0.3,9.298636,8,5.60
372,F,1.7375,1.35,0.5125,44.04094825,10,5.61
373,M,1.45,1.125,0.375,27.895908,11,7.68
374,F,1.475,1.1625,0.5125,31.18445,9,8.28
375,M,1.425,1.125,0.3875,24.36639525,10,7.37
376,F,1.625,1.3125,0.475,36.0322145,10,5.68
377,M,1.525,1.2,0.4375,33.339012,10,5.01
378,M,1.45,1.0625,0.3875,26.46425825,8,8.56
379,M,1.5,1.1875,0.4375,31.808139,8,7.57
380,M,1.2875,0.9625,0.3125,15.43630275,9,6.44
381,M,1.2625,0.975,0.3625,22.92057075,9,5.06
382,M,1.525,1.175,0.4125,37.32211675,10,7.34
383,I,1.3375,1.0125,0.4125,20.19901875,8,9.28
384,F,1.325,1.05,0.325,22.5378525,10,9.75
385,F,1.6375,1.275,0.4,32.4601775,9,9.32
386,I,1.375,1.075,0.35,20.638436,9,6.92
387,M,1.6,1.3125,0.425,38.71124225,10,5.15
388,M,1.625,1.2375,0.325,39.22153325,11,5.78
389,F,1.425,1.0375,0.425,33.26813825,7,9.59
390,I,0.9625,0.7875,0.225,8.674947,6,7.41
391,M,1.575,1.225,0.475,34.8415355,8,5.62
392,I,0.9625,0.7,0.25,8.901743,6,9.57
393,F,1.5125,1.225,0.45,32.16250775,10,7.93
394,I,1.125,0.8375,0.25,12.68640125,6,5.36
395,I,1.3625,1.1,0.3375,22.8213475,10,7.94
396,I,1.0875,0.8625,0.2875,11.509897,7,5.23
397,M,1.6,1.225,0.4,28.689694,13,5.21
398,I,0.875,0.6375,0.225,5.1312595,6,9.45
399,I,1.3625,1.0625,0.3,23.48756075,10,9.88
400,I,0.7,0.5375,0.2,3.61456125,5,9.40
401,M,0.9375,0.675,0.225,6.180191,6,5.69
402,I,1.2,1.05,0.4,20.3265915,9,7.18
403,M,1.525,1.2625,0.425,36.35823375,9,9.69
404,F,1.4375,1.125,0.375,31.56716825,14,9.81
405,I,0.725,0.5625,0.1625,3.67126025,5,7.77
406,F,1.675,1.3125,0.4375,40.51086325,12,6.74
407,I,1.3,1.025,0.275,14.118051,7,5.55
408,M,1.4875,1.1625,0.4125,26.988724,14,6.85
409,M,1.0875,0.8625,0.3375,11.169703,9,6.60
410,M,1.2625,1,0.3,19.51863075,8,6.41
411,M,1.2375,0.95,0.325,17.463292,12,5.32
412,F,1.575,1.2625,0.4,38.11590275,11,5.22
413,M,1.4375,1.175,0.375,34.6147395,13,5.90
414,F,1.15,0.875,0.3,16.51358375,9,7.11
415,F,1.6375,1.325,0.4125,38.90968875,11,5.82
416,I,0.7,0.5125,0.1625,3.3168915,5,5.91
417,F,1.55,1.2,0.4625,37.98833,13,8.61
418,F,1.1,0.8625,0.275,12.5021295,8,5.54
419,I,1.15,0.8625,0.275,12.00601325,7,6.33
420,F,1.1875,0.9375,0.3625,15.2236815,15,7.73
421,F,1.7,1.2625,0.45,44.9906565,13,9.29
422,I,1.25,1.0125,0.3625,18.01610725,10,9.81
423,M,1.4875,1.2125,0.3875,29.1149365,15,8.23
424,I,1.1,0.875,0.3125,12.94154675,10,8.61
425,M,1.4,1.1,0.4375,30.51823675,17,8.03
426,M,1.0375,0.875,0.3375,13.4660125,8,7.84
427,F,1.625,1.3125,0.4625,41.40444475,11,6.55
428,M,1.525,1.2125,0.4375,35.81959325,11,8.81
429,F,1.2375,0.9,0.3125,13.99047825,13,6.48
430,I,1.3625,1.05,0.35,18.01610725,11,9.53
431,I,1.25,0.975,0.3375,15.932419,12,8.77
432,F,1.5,1.2375,0.3875,31.3261975,10,9.60
433,F,1.5125,1.2125,0.375,30.03629525,10,9.15
434,I,1.1,0.825,0.25,9.85145125,8,8.18
435,I,0.6625,0.525,0.15,2.76407625,3,5.31
436,M,1.475,1.1375,0.4,27.5273645,10,6.92
437,M,0.9875,0.7375,0.25,7.9662095,13,7.17
438,M,1.275,1,0.35,21.75824125,9,8.49
439,I,1.2125,0.9375,0.3,16.839603,9,5.09
440,M,1.675,1.3125,0.4375,39.859397,12,9.27
441,F,1.4625,1.1125,0.35,25.51455,10,9.14
442,F,1.6,1.2125,0.4125,38.725417,10,7.44
443,I,0.5125,0.2875,0.1375,0.89300925,5,8.31
444,M,1.1875,0.9,0.3,14.81261375,9,6.34
445,I,0.425,0.325,0.1,0.77961125,6,7.29
446,F,1.3125,1,0.4,23.24659,11,9.64
447,I,0.7,0.5375,0.2,3.515338,5,8.55
448,F,1.45,1.125,0.3625,26.09571475,10,9.59
449,I,1,0.775,0.225,8.4198015,8,6.53
450,F,1.525,1.2,0.3625,32.205032,9,5.68
451,F,1.5,1.175,0.45,28.689694,12,5.51
452,M,1.5875,1.25,0.4375,35.3518265,14,5.09
453,F,1.4875,1.15,0.4125,29.8520235,11,7.63
454,M,1.175,0.9375,0.325,13.50853675,9,7.55
455,M,1.2625,0.9625,0.3125,17.19397175,9,6.98
456,I,1.0875,0.8375,0.275,9.752228,7,6.47
457,I,0.475,0.3375,0.1125,0.89300925,5,7.64
458,M,1.0875,0.8375,0.3,12.14776075,17,6.80
459,M,1.375,1.0625,0.375,22.55202725,15,9.89
460,M,1.3125,1.0625,0.35,25.911443,11,5.84
461,I,1.1,0.8625,0.25,10.27669375,7,6.79
462,I,0.8,0.6,0.2,4.49339575,6,9.09
463,M,1.325,1.025,0.35,21.61649375,9,6.37
464,I,0.7875,0.6125,0.2125,4.422522,6,5.53
465,F,1.4375,1.15,0.35,29.41260625,10,6.02
466,I,1.15,0.9125,0.2625,13.267566,7,5.70
467,M,1.4125,1.125,0.4375,28.519597,12,5.51
468,M,1.5375,1.1875,0.4375,31.75144,10,8.69
469,M,0.45,0.3375,0.1375,0.66621325,6,5.82
470,F,1.55,1.2125,0.35,30.34813975,15,7.65
471,M,1.5625,1.2875,0.35,33.77842925,8,7.71
472,I,0.875,0.725,0.25,7.654365,6,6.95
473,I,0.925,0.725,0.225,7.1157245,7,6.50
474,M,1.575,1.2625,0.375,36.61337925,10,7.60
475,F,1.25,1,0.375,21.6873675,8,7.69
476,F,1.5625,1.2,0.475,34.5013415,10,9.54
477,I,0.4,0.2625,0.0875,0.510291,4,6.42
